method,metric,percentile,sim,real,percent_error
cuda_event,request_execution_plus_preemption_time_normalized,p50,0.0477011,0.0349814,36.36%
cuda_event,request_execution_plus_preemption_time_normalized,p95,0.101271,0.072659,39.38%
cuda_event,request_e2e_time_normalized,p50,0.632833,0.454345,39.28%
cuda_event,request_e2e_time_normalized,p95,1.58811,1.14208,39.05%
cuda_event,prefill_time_execution_plus_preemption_normalized,p50,0.00152367,0.00110554,37.82%
cuda_event,prefill_time_execution_plus_preemption_normalized,p95,0.00164333,0.00126856,29.54%
cuda_event,decode_time_execution_plus_preemption_normalized,p50,0.0226286,0.0168694,34.14%
cuda_event,decode_time_execution_plus_preemption_normalized,p95,0.0229534,0.0182364,25.87%
record_function,request_execution_plus_preemption_time_normalized,p50,0.0391518,0.0355515,10.13%
record_function,request_execution_plus_preemption_time_normalized,p95,0.0828335,0.0719366,15.15%
record_function,request_e2e_time_normalized,p50,0.518468,0.460878,12.50%
record_function,request_e2e_time_normalized,p95,1.30193,1.15733,12.49%
record_function,prefill_time_execution_plus_preemption_normalized,p50,0.00124986,0.00112105,11.49%
record_function,prefill_time_execution_plus_preemption_normalized,p95,0.00135042,0.00128239,5.30%
record_function,decode_time_execution_plus_preemption_normalized,p50,0.018579,0.0168892,10.01%
record_function,decode_time_execution_plus_preemption_normalized,p95,0.0189064,0.0182938,3.35%
kineto,request_execution_plus_preemption_time_normalized,p50,0.0402562,0.0357118,12.73%
kineto,request_execution_plus_preemption_time_normalized,p95,0.0852231,0.0716597,18.93%
kineto,request_e2e_time_normalized,p50,0.533318,0.465215,14.64%
kineto,request_e2e_time_normalized,p95,1.33774,1.16455,14.86%
kineto,prefill_time_execution_plus_preemption_normalized,p50,0.00128762,0.00113298,13.65%
kineto,prefill_time_execution_plus_preemption_normalized,p95,0.00138937,0.00129362,7.40%
kineto,decode_time_execution_plus_preemption_normalized,p50,0.0191006,0.0169698,12.56%
kineto,decode_time_execution_plus_preemption_normalized,p95,0.0194282,0.0183789,5.71%
perf_counter,request_execution_plus_preemption_time_normalized,p50,0.0517726,0.035672,45.12%
perf_counter,request_execution_plus_preemption_time_normalized,p95,0.111719,0.0716346,55.96%
perf_counter,request_e2e_time_normalized,p50,0.691866,0.466107,48.45%
perf_counter,request_e2e_time_normalized,p95,1.751,1.19015,47.16%
perf_counter,prefill_time_execution_plus_preemption_normalized,p50,0.0016415,0.00113121,45.11%
perf_counter,prefill_time_execution_plus_preemption_normalized,p95,0.00179289,0.00129375,38.58%
perf_counter,decode_time_execution_plus_preemption_normalized,p50,0.0253748,0.0169704,49.51%
perf_counter,decode_time_execution_plus_preemption_normalized,p95,0.0257169,0.0183886,39.86%

