request_id,arrival_time_ns,num_prefill_tokens,num_decode_tokens
0,0,3772,54
1,0,2015,156
2,0,3858,133
3,0,2509,79
4,0,3169,189
5,0,3466,43
6,0,3389,231
7,0,2655,151
8,0,2131,170
9,0,3443,101
10,0,3174,431
11,0,2814,110
12,0,1920,267
13,0,2657,98
14,0,3117,133
15,0,3676,181
16,0,2591,803
17,0,3228,107
18,0,2321,178
19,0,3534,68
20,0,3728,293
21,0,2404,153
22,0,2856,91
23,0,2490,168
24,0,2334,115
25,0,3714,192
26,0,2296,230
27,0,3721,241
28,0,2594,114
29,0,2680,141
30,0,3728,67
31,0,3285,88
32,0,3220,238
33,0,2659,69
34,0,2313,242
35,0,3930,91
36,0,2546,149
37,0,2356,112
38,0,3521,94
39,0,2704,86
40,0,2746,127
41,0,3160,119
42,0,2666,124
43,0,3321,105
44,0,2844,122
45,0,2999,162
46,0,2391,122
47,0,2328,112
48,0,2642,106
49,0,2442,107

