request_id,arrival_time_ns,num_prefill_tokens,num_decode_tokens
0,0,3772,54
1,0,2015,156
2,0,3858,133
3,0,2509,79
4,0,3169,189
5,0,3466,43
6,0,3389,231
7,0,2655,151
8,0,2131,170
9,0,3443,101
10,0,3174,431
11,0,2814,110
12,0,1920,267
13,0,2657,98
14,0,3117,133
15,0,3676,181
16,0,2591,803
17,0,3228,107
18,0,2321,178
19,0,3525,318
20,0,3610,189
21,0,3930,28
22,0,619,104
23,0,3511,151
24,0,1680,311
25,0,2332,200
26,0,2667,151
27,0,2775,189
28,0,1743,78
29,0,2509,448
30,0,1402,148
31,0,3228,112
32,0,2940,366
33,0,2550,140
34,0,2471,170
35,0,2542,148
36,0,3107,232
37,0,1221,2131
38,0,2691,128
39,0,3828,193
40,0,3211,285
41,0,999,310
42,0,2307,241
43,0,1685,118
44,0,3090,138
45,0,2348,174
46,0,3492,97
47,0,3578,130
48,0,2603,173
49,0,3179,264
