arrived_at,num_prefill_tokens,num_decode_tokens,request_id
0.0,3772,54,0
0.0,2015,156,1
0.0,3858,133,2
0.0,2509,79,3
0.0,3169,189,4
0.0,3466,43,5
0.0,3389,231,6
0.0,2655,151,7
0.0,2131,170,8
0.0,3443,101,9
0.0,3174,431,10
0.0,2814,110,11
0.0,1920,267,12
0.0,2657,98,13
0.0,3117,133,14
0.0,3676,181,15
0.0,2591,803,16
0.0,3228,107,17
0.0,2321,178,18
0.0,3525,318,19
0.0,3610,189,20
0.0,3930,28,21
0.0,619,104,22
0.0,3511,151,23
0.0,1680,311,24
0.0,2332,200,25
0.0,2667,151,26
0.0,2775,189,27
0.0,1743,78,28
0.0,2509,448,29
0.0,1402,148,30
0.0,3228,112,31
0.0,2940,366,32
0.0,2550,140,33
0.0,2471,170,34
0.0,2542,148,35
0.0,3107,232,36
0.0,1221,2131,37
0.0,2691,128,38
0.0,3828,193,39
0.0,3211,285,40
0.0,999,310,41
0.0,2307,241,42
0.0,1685,118,43
0.0,3090,138,44
0.0,2348,174,45
0.0,3492,97,46
0.0,3578,130,47
0.0,2603,173,48
0.0,3179,264,49
